"indivOrGroup","variation_level","hot_stove_susceptibility","mean_proportionSafeChoice","median_proportionSafeChoice_raw","sd_proportionSafeChoice_raw","hot_stove_susceptibility_slided"
"Group",1,4,0.437271552850011,-0.252242775389625,0.873527620802336,3.98459930834521
"Group",2,3.375,0.422472243061107,-0.312632757462061,0.803159394023663,3.37051037764708
"Group",2,3.6875,0.429207334808738,-0.285085935370112,0.823309256885239,3.68328193965664
"Group",2,4,0.435548347806901,-0.259248925879382,0.848761954602081,4.02339399757586
"Group",2,4.3125,0.443006033862646,-0.228971016671277,0.865313583677533,4.30065414590846
"Group",2,4.625,0.448594641983007,-0.206350537505426,0.86950553322336,4.62693794192971
"Group",3,1.5,0.376278681148694,-0.505373622082587,0.302222353179579,1.50911786556757
"Group",3,1.9,0.371799246614897,-0.524505737412598,0.38241707524436,1.9084504051794
"Group",3,2.3,0.376473212954754,-0.504544829401038,0.448629585305715,2.30509547364306
"Group",3,6.3,0.439177065218083,-0.244502562045186,0.614281132868345,6.29273458209786
"Group",3,8,0.44975858662702,-0.201646150680411,0.621332826107288,8.01412816825803
"Group",4,1.25,0.38946957917186,-0.44954236166951,0.254219342535546,1.24275524211597
"Group",4,1.5,0.380450507787866,-0.487636491129674,0.306120616752022,1.51259491336405
"Group",4,2.95,0.396033740217856,-0.422018924891385,0.518504722673511,2.93683424347623
"Group",4,6.3,0.446514410964195,-0.214764040549292,0.615668805094298,6.3032867150423
"Group",4,8,0.461162592667082,-0.155663192843108,0.620623401305359,8.01715298846449
"Individual",0,1,0.414763783704923,-0.344306391984327,0.17105569206481,1.00304987177319
"Individual",0,1.25,0.400358564889227,-0.403971310634954,0.275688149610067,1.24613850507184
"Individual",0,1.5,0.403008071018272,-0.392947004920864,0.42780436088835,1.49163351863185
"Individual",0,1.9,0.44278512634541,-0.229866324850215,0.861270867778186,1.90221204544633
"Individual",0,2.3,0.522745082577902,0.0910431652176823,1.46113441960383,2.29425314751446
"Individual",0,2.95,0.704045068863473,0.866635189323453,2.30174597512189,2.95365789148312
"Individual",0,4,0.942909804381511,2.80433823406803,3.2405815669075,3.98826083225387
"Individual",0,4.625,0.986285653882457,4.27550357565777,3.62593283050287,4.61570871955218
"Individual",0,6.3,0.9978036633296,6.11876570418378,4.11883534588238,6.28686547361394
"Individual",0,8,0.999619765516142,7.87434212597439,4.43241489109061,7.9999182938362
