"sub","alpha_mean_AL00_multiVar_LKJ","alpha_median_AL00_multiVar_LKJ","beta_mean_AL00_multiVar_LKJ","beta_median_AL00_multiVar_LKJ","log_lik_AL00_multiVar_LKJ","waic_AL00_multiVar_LKJ"
1,0.242225741365765,0.0780903,18.5895100817296,0.493015,-48.4966487333333,97.2358965901576
2,0.474378703763333,0.4647305,4.20805545833333,4.064345,-15.4538555,33.0907795377398
3,0.485963533583333,0.329063,2.86209315,2.80332,-20.2394726333333,42.0369821132009
4,0.266980995753703,0.08501535,3.22251132749918,0.3733365,-48.6017120333333,97.547264213019
5,0.0698581696750625,0.02050835,16.4169668335897,2.85656,-24.4634363333333,49.865799266568
6,0.0792188883985348,0.0246155,5.22955265529182,1.10682,-46.0757265833333,93.0779671245463
7,0.180240687809712,0.02596555,5.0695726898453,0.6008995,-48.7314276,97.7627637314847
8,0.0417146429617,0.0322819,13.7840500133333,4.41336,-20.2879731833333,41.3822752544623
9,0.09612550085,0.0946603,2.14478139466667,2.11497,-26.9352038166667,55.4529117110097
10,0.127137905523903,0.0157894,4.45177228881475,0.51773,-48.98740655,98.4618824601387
11,0.903584085166667,0.915411,1.426465425,1.41415,-32.5662904166667,66.7923031317558
12,0.208200135124333,0.08888695,25.9106611933333,5.601135,-9.35568328166667,19.3806905784128
13,0.212688975657525,0.193296,1.03130476054292,0.96851,-43.5858175333333,89.6084261364902
14,0.197542505164285,0.03246465,12.5851372843499,0.441176,-48.8091206166667,97.9513610126477
15,0.0980051932277667,0.05205135,22.35304054,3.893955,-15.53250665,31.9962512172221
16,0.10071161080936,0.0113442,9.15845102691045,1.39382,-48.3757168833333,97.2709795791057
17,0.3976983049147,0.345821,36.95773707,11.39345,-2.36788452833333,5.67814117837917
18,0.297671187203083,0.2030285,100.73422612,11.321,-1.74758046833333,3.99508014735005
19,0.0380098349044333,0.02466725,26.4960605466667,7.99218,-20.7333022666667,42.7421857816445
20,0.0838897897146267,0.0217878,11.1870170268422,1.637515,-47.8186247833333,96.1958183087474
21,0.119582572065391,0.01935055,68.1571215517655,1.23464,-48.34418915,96.9849899362199
22,0.111702105430467,0.04367005,15.222056055,4.998375,-10.0544304616667,20.9723507140684
23,0.331109947633049,0.1003995,2.52720195136573,0.171852,-48.8016113333333,98.2239615982572
24,0.18985704064255,0.0335714,4.80824374872399,0.4667265,-48.8077599833333,97.918817005872
25,0.264654669879583,0.2199885,1.52004816923983,1.023115,-43.5459383,89.5317176212288
26,0.257369202158967,0.0426146,2.61785947890728,0.247269,-48.76513315,97.9191490205016
27,0.0327995819883833,0.03050215,445.225218705,71.0007,-3.144814775,9.98891191658693
28,0.219476725064267,0.02954715,6.904978049977,0.546736,-48.1644309833333,96.5482192408866
29,0.0742095906488305,0.008509235,17.234562584258,2.90567,-48.0294190333333,96.7950902511603
30,0.034549753588,0.0313576,612.410673715,59.2162,-3.17171026,9.49490195292832
31,0.153417225018897,0.0322192,4.72819845456097,0.323727,-48.9153214166667,98.272456316144
32,0.215838892112958,0.0614006,7.45083199840985,0.316809,-48.5014029666667,97.3145867048757
33,0.21869538891475,0.1834815,2.15329055233333,1.46026,-38.0861955666667,77.5632273567485
34,0.0159235258941225,0.01169835,55.13526158,8.82853,-28.9985365166667,59.4165602178837
35,0.0612013206021667,0.06109685,4.12778804166667,3.757915,-19.9619322,41.4381896172305
36,0.365959758541833,0.245354,3.06742854,2.89057,-14.4236664666667,29.9616736343031
37,0.0322208261544,0.03016385,6.76482840783333,2.9423,-35.2284486833333,71.6105452803354
38,0.153318077014597,0.01420245,50.8783732357274,0.707299,-48.7186418166667,97.7434062956261
39,0.0650254514632417,0.0121645,22.79093009542,2.49376,-43.0398309,88.2633035151749
40,0.553233321435833,0.5699795,4.63587727666667,4.384495,-7.65232764,17.2401180154343
41,0.276777205343467,0.2383055,2.28929303416667,1.9574,-32.8273566,67.4266930879753
42,0.324276530936237,0.258855,0.794614944182167,0.674928,-45.7315301166667,93.5037032043683
43,0.253589043083044,0.09340475,3.61676089027328,0.4117225,-48.4540404166667,97.1669460730794
44,0.242635984418083,0.14342,1.40139344079717,1.269835,-43.7413311666667,89.4752384492791
45,0.29071676167305,0.0972398,21.0664252583333,6.44155,-6.27698483333333,13.4491579381607
